created;sku;quantity;amount;name
"2020-10-14 11:07:26.008";"24281";"2";"306";"Clavo estriado 2.7x40 mm - 10 unidades"
"2020-10-14 16:48:58.102";"102524";"1";"2846";"Set de accesorios de baño Boné"
"2020-10-14 17:07:00.527";"102524";"1";"2846";"Set de accesorios de baño Boné"
"2020-10-14 17:32:35.258";"24281";"2";"306";"Clavo estriado 2.7x40 mm - 10 unidades"
"2020-10-14 17:35:38.275";"127947";"1";"10975";"Porcelanato Extra blanco 60x60cm 1.44m2"
"2020-10-14 17:40:56.322";"119395";"1";"6847";"Piso Cement porcelanico Texas Gris 60x60cm Caja: 1.44 m2"
"2020-10-14 17:44:25.697";"128074";"1";"1419";"Maceta cuadros rojo blanco Bistrot"
"2020-10-14 17:50:56.65";"24281";"2";"306";"Clavo estriado 2.7x40 mm - 10 unidades"
"2020-10-15 12:54:19.399";"116565";"1";"11441";"Hervidor eléctrico Holstein Inox 1500W 1.8 litros"
"2020-10-27 15:37:21.387";"24281";"1";"306";"Clavo estriado 2.7x40 mm - 10 unidades"
"2020-10-27 15:50:01.366";"31529";"1";"344";"Clavo con cabeza 1 1/2"" x 19 100 gramos"
"2020-10-29 12:00:24.827";"24281";"1";"306";"Clavo estriado 2.7x40 mm - 10 unidades"
"2020-11-03 13:30:01.412";"77441";"1";"45649";"Escritorio de vidrio Kuala Lumpur"
"2020-11-09 17:39:33.114";"9901606";"1";"24811";"COMBO Árbol navidad 210cm 864 ramas + Set x 50 bolas 4cm doradas + Estrella para punta de árbol dorada + Luces Arroz Blanco x100 luces"
"2020-11-10 20:43:25.413";"105937";"1";"3428";"Musgo 4 Estaciones 9kg"
"2020-11-10 20:43:25.413";"105940";"1";"2980";"Humus de lombriz 4 Estaciones 20kg"
"2020-11-10 21:45:38.72";"116586";"1";"62839";"Ropero Cali Jacaranda"
"2020-11-10 21:45:38.72";"132088";"1";"57109";"Atornillador GSR 120 + 1 batería Bosch"
"2020-11-10 21:45:38.72";"126262";"1";"4756";"Bulbo led E27 15W Luz cálida x3u"
"2020-11-11 08:32:05.801";"48663";"1";"19081";"Cable THW 14AWG Azul x rollo"
"2020-11-11 08:32:05.801";"48662";"1";"19081";"Cable THW 14AWG Verde x rollo"
"2020-11-11 08:32:05.801";"48661";"1";"19081";"Cable THW 14AWG Rojo x rollo"
